smiles,4lde qvina,4lde smina
CC1CCC(=O)NO1,-5.8,-5.8
CC(C)(C)CC1CCC1,-5.8,-5.8
C1CCCCCCC1,-5.8,-5.8
CC1CCCCC[O+]1C,-5.8,-5.8
CN1CCCCC2CN(C)OC(CCC1)N2,-5.8,-5.8
CC1CCC(C)(C)CNO1,-5.8,-5.8
C1CC(CCC2CC2)C1,-5.8,-5.8
C1CC2NN=NC1N2,-5.8,-5.8
CCC[N+](C)(CC)C[N+]1(C)CC(C)C1C,-5.8,-5.8
CCCC1c2nnc(C)[o+]21,-5.8,-5.8
C=C1N=C(C)C=C1OCCC,-5.8,-5.8
CC(C)CCNCC(C)(C)C,-5.8,-5.8
CCC1CCC(NN(C)C)C1,-5.8,-5.8
C1CCN2NCCC2C1,-5.8,-5.8
O=C1CC2OC3(O1)C(=C1C4=C5CC(=C1c1ccccc1)C3(C4)C5Cc1ccccc1)C2F,-5.8,-5.8
O=C1NC2NC=NCN2N1,-5.8,-5.8
O=C1C=CCC12OCCO2,-5.8,-5.8
O=C1CN2CC=CC2N1,-5.8,-5.8
COC1C=C2NC1CC(=O)O2,-5.8,-5.8
O=c1oc2=c3[nH]c(=c1s3)c2=O,-5.8,-5.8
NC(=O)NC1ONC(=O)O1,-5.8,-5.8
COc1cc2c(cc1)C1=CCC(=C1)C2(Cc1ccccc1C=CC=C1Cc2c(cccc2)S1)c1c(C(=O)C=C(Cl)CCC(N)=O)cccc1,-5.8,-5.8
CC=CC(C=O)=C[SH](=O)=O,-5.8,-5.8
Cc1c(N2c3ccc(Cl)cc3Nc3c2ccc(Br)c3)cccn1,-5.8,-5.8
CC=CCCS(=O)(=O)CC=O,-5.8,-5.8
O=c1cccc(CF)[nH]1,-5.8,-5.8
C=CC=C1C2=C(SC)NC(C(C)=O)(C(=O)Nc3c(C)cccc3)CC2OCC1CCC,-5.8,-5.8
C1=CN2Cc3c1cc2cc3,-5.8,-5.8
Cc1c2nc(N=C(N)N2)[nH]1,-5.8,-5.8
CCOC(=O)C=NN1C=C(C(=C(c2ccccc2)c2ccccc2)c2ccccc2)CC1,-5.8,-5.8
CCC(C)c1c(-n2c(C(=O)N(CN=C(N)N)S(=O)(=O)c3ccccc3)c(C)c3c2cccc3)cccc1,-5.8,-5.8
O=C1OCC2=C1OCC2,-5.8,-5.8
O=c1n(CCl)c(=O)n2ccn1c2=O,-5.9,-5.8
O=c1oc2ccc1cc2,-5.9,-5.8
COC(=O)CC(=O)C(C)C,-5.9,-5.8
CCCC1=C2C=C3NC(=O)OC4=Cc5cc(C)ccc5OC34N(C(=O)C1)C2=O,-5.9,-5.8
COC1(C)CCCCCC(C)CCOCC1,-5.9,-5.8
COC(C)CCC1CC(C)C1,-5.9,-5.8
CCC1CCCCNC1,-5.9,-5.8
CCCCC(=O)OC(C)=O,-5.9,-5.8
O=C(CF)NC1CC2OCC1O2,-5.9,-5.8
O=CC1=CC=C2C3=CSc4c5ccnc4C3C(F)(F)C5(c3ccccc3)C12,-5.9,-5.8
CN1C=C2CC3=CC=C2C31,-5.9,-5.8
Cc1c(CN(C)C)cccn1,-5.9,-5.8
CC(=O)NC1=CC(=O)NC1,-5.9,-5.8
CCCCCCOc1c2c(NC)c(c(C(=O)OCC)c1)C(F)(S(=O)(=O)c1ccccc1)C(=O)N2C,-5.9,-5.8
Cc1ccc(S(=O)(=O)C(c2c3ncnc2N2c4ccc(cc4)C32)C2(C)CCCCC2)cc1,-5.9,-5.8
Cc1c2nc([nH]1)SC2N1CCOCC1,-5.9,-5.8
CN1C=C2OC(=CNC2=O)C1,-6.0,-5.8
CCc1ccc2cc1C1(C(=CO)c3ccc1cc3)S2(=O)=O,-6.0,-5.8
COc1c(C2C(C(F)F)=CC(=O)N2CCSCn2c3cc(OC)c2cc3)cc(N(C(C)=O)C(C)=C(c2ccccc2)c2ccccc2)cc1,-6.0,-5.8
CCC1CC(=O)C2C(=O)C(N(C)C)C2OC(C)CCNC1(C)C,-6.0,-5.8
CCOC(=O)C(=C1C=CC=CC1)c1c(C(=O)c2ccccc2)c(Nc2ccccc2)c2cc1CC(=O)O2,-6.0,-5.8
O=C1Oc2cc1c(CF)nc2,-6.1,-5.8
CCCC1CCC2CCCC3=C2C(CCC3(C)O)CC(C)N1O,-6.1,-5.8
CCCC1CCCN2CCC(C)(CC3C(=O)OCCC13)C2,-6.3,-5.8
CC(O)C1NC2=CC(=C(C3=CCCC3=O)n3c4cc(C=O)c3cc4)N1C2=O,-6.4,-5.8
C1=Cc2cc(ccc2C(=C(c2ccccc2)c2cc3c(cccc3)o2)c2ccccc2)N1,-6.4,-5.8
CCCC=CC(=Cc1c(C=Cc2cc(OC)c(OC)cc2)[nH]c2ccccc12)C1=CC=CCC1c1ccccc1,-6.6,-5.8
C=CC=C(NOC12C(=C(C(=O)C=CC)C(=O)c3c1cccc3)C(=O)OC2Cc1ccc(OC)cc1)c1ccccc1,-6.6,-5.8
CC=CC(CC)=NC=CC=CC(=CC=C1C(c2ccccc2)=C2OC(C)CN1C2=O)Cc1ccccc1,-6.7,-5.8
COC1C(=C2C=CC=C2c2ccccc2)Sc2c1cccc2,-6.7,-5.8
CC(C)C(=O)N(c1c(CN)cccc1)c1c2ccc(c1)cc2OC1=C(c2ccccc2)OCC1,-6.7,-5.8
CCC(=O)Oc1c(C2=C(CC)C(C)Oc3c2c(CC)ccc3)cccc1,-6.8,-5.8
CCN1C(=O)C(N2N=CNN=C2C2(C)CCCCC2)Sc2c1cccc2,-6.8,-5.8
CC(c1c(C2=C(C#N)C(=CNC(N)=O)CO2)cccc1)C(C(=O)O)C(=O)n1ccc(=O)c2c1cc(O)cc2,-6.9,-5.8
COC(=O)C(=CNC=O)C1=C2C=C(Cl)S(=O)(=O)N(C2=O)C1(Cl)C=O,-6.9,-5.8
Cc1cccc2c1c1c(SCc3ccccc3)c(=O)n2c2cc(-c3n[nH]c4ccccc34)ccc12,-7.1,-5.8
CCOP(=O)(C(=C(C)c1ccccc1)c1ccc(OC)cc1)c1c2ccccc2ccc1,-7.4,-5.8
COc1ccc(C2=Cc3c(-c4ccccc4)c(-c4ccccc4)c(C)c2c3)cc1,-7.5,-5.8
O=C(NC1=c2c(=O)[nH]n(-c3ccc(Cl)cc3)c2=C(O)C1)Nc1ccccc1,-8.0,-5.8
O=CNC=CC=CC1=C(Cc2c(C(=O)c3cccc4c3-c3c5C4=CC(=O)c3c[nH]c5=O)c3cc(Cl)c2n3C(C=O)=C2CCCCN2)C2=CC1=C(c1ccccc1)C2,-2.2,-5.9
Nc1c(C=c2[nH]c(=C(C=Cc3ccccc3)c3ccccc3)c(-c3ccc(Cl)cc3)c2Cc2ccccc2)cccc1,-3.2,-5.9
CCCC(=O)OC(=O)C(=C(C1=CSC(F)(S(=O)(=O)C(Cl)C(=O)O)C1)c1ccc(OC)cc1)c1ccccc1,-4.3,-5.9
NC=CCNC(=C1C(=O)c2c(cccc2)C(C=O)=C1c1ccccc1)c1ccccc1,-4.5,-5.9
CCCCCC(=O)C1(N(C)C)OCCC=C1C12Oc3ccccc3C1c1ccc(Cl)c2c1,-4.5,-5.9
CC1OC(C)(C)CC2CCCC1(C)CC1CC(CC2)C1C[N+](C)(C)CCN1CCC1,-4.7,-5.9
Cc1c(-c2ccccc2)c(-c2c(ON(C)C(N)=O)cccc2)c2cc1-c1c-2oc2c1cccc2,-4.8,-5.9
CCCCC1CCC2(O)CCC(CC3CC13)C[N+](=NN)C21CCCC1,-4.8,-5.9
CC=CC(C1=C(N)C(=O)NC1)=c1c(=CN)n2c(C=CCc3ccccc3)c1c1c2cccc1,-4.9,-5.9
CC1=NC=C(C=C2C=NC=C2C(C)=c2c(=C(N)CO)cc[nH]c2=O)C(=O)C1,-4.9,-5.9
COc1cc2c3C4=CC5=NN(c6ccccc6)C(C=O)(C(=C4)C52c2ccccc2OC2=C4OC(=O)CC=C4C(=O)O2)c3c1,-5.0,-5.9
CC(CO)=C(OS(N)(=O)=O)C1=C(c2ccccc2)C=c2c1csc2=Cc1ccccc1,-5.1,-5.9
CC(N)=CCC(c1ccccc1)=c1c2cc(=C(C(=CC=CN)c3ccccc3)C2=O)n1CCO,-5.2,-5.9
CCc1cccc2c1c(-c1ccccc1)c(C=CC=O)n2S(=O)(=O)OC,-5.3,-5.9
CCC(CO)OCCC(C)O,-5.3,-5.9
OC=c1nc[nH]c1=CCO,-5.3,-5.9
CC(O)(CO)C1CCNC1,-5.4,-5.9
COCC[O+]1CC2CC13CC23OOCO,-5.4,-5.9
O=C(O)N(O)C=CS[SH](=O)=O,-5.4,-5.9
CC=C(c1ccccc1)c1c(N2C=CCc3c2cccc3)cccc1C1NC(=O)c2c1ccc(OC)c2,-5.5,-5.9
NC=CC(=O)C(N)=NCN,-5.5,-5.9
CCCCCCC[N+](C)(C)CCN,-5.5,-5.9
CCOC(=O)C1=C(C2=CCN3CC(=O)N2C3O)C2=C(C(=O)OCC)CCC23COOC3C1,-5.5,-5.9
N=CNCC(=CO)C(=O)O,-5.5,-5.9
CCc1cccc(C(F)(c2c(OC)cccc2)S(=O)(=O)c2ccccc2)c1C=C1OCCC=C1F,-5.5,-5.9
C=C(NCC(=O)O)C(=O)OC,-5.5,-5.9
NC(O)=CN1CCC(=O)N1,-5.6,-5.9
O=C(O)CCC1N2C=CN1C=C2,-5.6,-5.9
CC=CC1=C(C(C(=O)c2ccccc2)=C2C=CN(C(=O)NC=CC=CN)S2(=O)=O)C(=Cc2cc(OC)c(OC)cc2)C(=O)O1,-5.6,-5.9
NC=C(C=CNC=O)NO,-5.6,-5.9
Cn1cc(O)n(O)c1=O,-5.6,-5.9
CC(CC(=O)O)S(=O)(=O)O,-5.6,-5.9
CC(=NN)C(=O)C(=O)O,-5.6,-5.9
OCc1c(S)cccc1,-5.6,-5.9
Nc1c(Oc2ccc(C=CC=CC(Cc3ccccc3)=C3CN4C(=O)C3N3C(=O)C4=CC3c3ccccc3)cc2)cccc1,-5.6,-5.9
NC1=CC(C(=O)O)S(=O)(=O)C1,-5.6,-5.9
O=C(O)CCCS(=O)(=O)O,-5.6,-5.9
Nc1cccnc1CO,-5.6,-5.9
CC1C(O)CC(CCCO)N1C,-5.6,-5.9
CCOCC(CCOC)CC(C)(O)OC,-5.6,-5.9
CCCC(C)(C)NC(C)CC,-5.6,-5.9
O=C1OC2CC(O)=C1C2,-5.6,-5.9
O=C1NCP(=O)(N=CCO)N1,-5.6,-5.9
NC(=O)N1C=CC2=CC1=C(C=O)C21c2cc(c3OC=CSc3c2)C1Cc1ccccc1,-5.6,-5.9
CCOP1(=O)Sc2ccc1cc2,-5.6,-5.9
CC(O)CCCC(=O)O,-5.6,-5.9
CC=CC=CN(P)C(=O)SCN,-5.6,-5.9
CN=CC(SC)(S(N)(=O)=O)S(=O)(=O)O,-5.6,-5.9
CN(C)C(=S)NCC(=NN)C(=O)O,-5.6,-5.9
O=C1CC(F)N(O)N1,-5.7,-5.9
N#CC(S)c1ccccc1,-5.7,-5.9
CC1=CC(=O)C=C1O,-5.7,-5.9
CCC(C(=O)O)=C(N)SC(=O)OC,-5.7,-5.9
NC1CC(=O)OS1(=O)=O,-5.7,-5.9
NC=NC(N)=NCCC(=O)O,-5.7,-5.9
NC(=O)N1CC(CO)=CN1,-5.7,-5.9
O=C1NNC(=O)N(O)N1,-5.7,-5.9
NC(Cl)=CCCC(=O)O,-5.7,-5.9
NC=C1C(=O)NC=C1Cl,-5.7,-5.9
Cc1cnc(NC(=O)O)s1,-5.7,-5.9
NC1=C(CCl)COC1=O,-5.7,-5.9
OC1=CC2=C(Cl)C1OC2,-5.7,-5.9
NC(=O)N(N)N[SH](=O)=O,-5.7,-5.9
CN1C=C(Cl)CC1C(=O)O,-5.7,-5.9
CC1=C(c2c(C(=O)O)cccc2C2=CC(C)C(C=O)=C2C(=O)c2ccc(Cl)cc2)OC(=O)C1,-5.7,-5.9
CC1=C2CC(=O)N(C(N=C(N)Cl)=C(N)N=CN)C2(C(=O)N2C=C(C(=O)N3C=CCCC3=O)CC2)OC(=O)C1,-5.7,-5.9
NC=C1C=C(Cl)NC1=O,-5.7,-5.9
CNC(=O)N=CN=C(C)C(C)O,-5.7,-5.9
O=C1NC2=CC1=C(Br)C2O,-5.7,-5.9
Cc1c(N)ccc(=O)[nH]1,-5.7,-5.9
OCc1ccccc1,-5.7,-5.9
O=C1OC2=CC1=CC2O,-5.7,-5.9
CC(CC=O)=C(C)C(=O)O,-5.7,-5.9
O=CCCCCCSN(S)[SH](=O)=O,-5.7,-5.9
CCCC(C(=O)O)C(=O)OCC,-5.7,-5.9
OC1CCCCCC1,-5.7,-5.9
CC1(O)CCCCCC1,-5.7,-5.9
COC12CCCN(C)CN(CC(C)SC1)C2,-5.7,-5.9
CCC1(O)CC2ON(C)C(C)(C)C3(C)C1CC3C(C)(CO)C2C,-5.7,-5.9
CC1C(O)CCCCC2CC3C[N+](C)(C3)C1C2,-5.7,-5.9
CC(C)CCCCCNCN,-5.7,-5.9
CCNC(CC)C(N)C(O)CC,-5.7,-5.9
C[O+]1CC[N+](C)(NC(=O)O)C1=O,-5.7,-5.9
CCCC=CC=C(O)CC,-5.7,-5.9
CC(=O)NC(C)[N+](C)(O)C(C)N,-5.7,-5.9
CC(CCO)C1CC1C,-5.7,-5.9
O=C1C=C(CCO)CO1,-5.7,-5.9
O=c1n2c3cc4c2cc3n14,-5.7,-5.9
COC(=O)c1c(C(=O)O)c(NO)c(OC)c(C)c1OC,-5.7,-5.9
COC(Cl)C=NC=C(C)C(=O)O,-5.7,-5.9
CCOC(=O)NC(F)CC(=O)O,-5.7,-5.9
CCCCC(CO)C(OCC)(N(C)C(=O)NC)C(F)(OC)SCN,-5.7,-5.9
CN(C)C1OC(=O)C=C1CO,-5.7,-5.9
CSCCCC(C)(C)NN=C(C)O,-5.7,-5.9
CC(O)C=C1C(C(=CC(=O)O)OC(C)C)=c2ccccc2=C1c1c(N)cccc1,-5.7,-5.9
COc1c2cc(C(=CS)N(c3c(O)cccc3)S2(=O)=O)c(NC(N)=O)c1,-5.7,-5.9
COc1ccc(N)cc1,-5.8,-5.9
O=C(O)C1OC2C=CC1=C2,-5.8,-5.9
O=C1NC=C2CCCN1C2,-5.8,-5.9
CC(N)=CC=CNC(N)=O,-5.8,-5.9
CC(C=O)=C(C=CNC=O)CO,-5.8,-5.9
CN(C)CCC(C=O)=CNC(N)=O,-5.8,-5.9
NC1=CC(=O)C(Cl)CO1,-5.8,-5.9
O=C(O)c1c2C=Cc1co2,-5.8,-5.9
CC=CCCCC(=O)O,-5.8,-5.9
COCCS(=O)(=O)C(C=O)C(C)C,-5.8,-5.9
Cc1c(C)n(N)c(=O)[nH]1,-5.8,-5.9
CC(C)OS(=O)(=O)N(C)C=O,-5.8,-5.9
O=c1c2c3[nH]n1C(S3)C(O)=C2,-5.8,-5.9
CC=CCC(=O)NC(=N)S,-5.8,-5.9
O=CC=CC(=O)OC(=O)CCCCl,-5.8,-5.9
CN=c1[nH]c(=O)[nH]c(=O)s1,-5.8,-5.9
CC=CCC=CC1=C(c2ccccc2)C(N2C(=O)C(Cl)OC(=O)C2CCc2ccccc2)N(CC)C(=O)O1,-5.8,-5.9
CC(=COC(=O)C(C)C)CO,-5.8,-5.9
Cn1c(=O)[nH]n(CCCO)c1=S,-5.8,-5.9
CN(C)CCC(=CC=O)C(=O)O,-5.8,-5.9
CNC(=O)NN=C(N)N=CN,-5.8,-5.9
O=C1OC2C(=O)NC1=C2Br,-5.8,-5.9
O=C1OCCN1CCCCO,-5.8,-5.9
CC1CCCCCCNN2CCCCN1CCC2,-5.8,-5.9
CCOCC1CC2OCC1C2C,-5.8,-5.9
CCC1CNC(O)CN(C)C1,-5.8,-5.9
CC1CC2CC(CN1)C2C,-5.8,-5.9
CCC1OC(O)CN1CN(C)C,-5.8,-5.9
CCC(C)CC(CC)CN,-5.8,-5.9
CCC(=CC=C(NC)OOC)NC,-5.8,-5.9
C[N+]12CCCC(=O)OC(C1)C2,-5.8,-5.9
CCC(C)CC(C)(C)C,-5.8,-5.9
CCCCC(C)(C)[O+]1CC1(C)C,-5.8,-5.9
COc1cc2c3c(c1)C(=O)N2C12OC34CC3=C1C(=O)OC2(C3)N4C(=O)c1ccccc1,-5.8,-5.9
NCc1ccccc1,-5.8,-5.9
C=CC=C(OC(=O)CC)N1C(=O)NC23C=C1C(=CO2)C(=C(C)C(=O)O)N3C(=O)CF,-5.8,-5.9
CN(C=NOCCC(=O)O)C(N)=O,-5.8,-5.9
O=C1OC2=C3NC1N(C2)C3=O,-5.8,-5.9
CC1(C)COC(O)C(=O)O1,-5.8,-5.9
COC(=O)C(OC)(N(C)C)N1CCC(C)OC1=O,-5.8,-5.9
C=CC=CN(P)C=CC=CCC,-5.8,-5.9
CC(C)(C)OC(SCN)C1=NCOC1,-5.8,-5.9
COC(ON)N1CCOC(=O)C1,-5.8,-5.9
COC1=Cc2c(cccc2)N(c2c(O)cccc2)C1=C(C)C(N)=O,-5.8,-5.9
N#COc1ccc(P=O)cc1,-5.8,-5.9
NCCC1Oc2c3cc1c(c2)s3,-5.8,-5.9
CCCCOS(=O)(=O)NC=O,-5.8,-5.9
NC(=O)C1C(=O)S(=O)(=O)c2c(cccc2)C1=C(C=O)c1ccccc1,-5.8,-5.9
CC(C)OC1=CNC(=O)OC1,-5.8,-5.9
Clc1c2cc(cc1)NCO2,-5.9,-5.9
CCCC1=CC(=O)OC1,-5.9,-5.9
O=C1NCc2cn1[nH]c2=O,-5.9,-5.9
O=Cc1ccccc1,-5.9,-5.9
COc1ccc(CN(C)C)cc1,-5.9,-5.9
Cc1cccc(C)c1,-5.9,-5.9
COc1c(OC)cc(C)cc1,-5.9,-5.9
O=CNc1c[nH]c(=O)[nH]c1=O,-5.9,-5.9
CNc1cc(NC=S)c(Cl)cc1,-5.9,-5.9
CCCc1ccccc1,-5.9,-5.9
Cc1c2C(=O)Oc(c2Br)cn1,-5.9,-5.9
CC1=C(Cl)NC(=O)NC1,-5.9,-5.9
CN(C=O)S(=O)(=O)S(=O)(=O)N(C)C=O,-5.9,-5.9
CN1NC(CCl)=CNC1=O,-5.9,-5.9
CC1=C(Cl)NC(=O)OC1,-5.9,-5.9
CC=CNS(=O)(=O)N(C)C(N)=O,-5.9,-5.9
O=C(NCCl)n1ccc(=O)o1,-5.9,-5.9
COC(=O)S(=O)(=O)S(=O)(=O)Br,-5.9,-5.9
CN(C)n1c2cc(C=O)c1cc2,-5.9,-5.9
CC=CNC(=O)N1COC(C)C1,-5.9,-5.9
O=C1Cc2cc(ccn2)O1,-5.9,-5.9
O=[SH](=O)Oc1c2C=C(Cl)c1co2,-5.9,-5.9
O=CC1=CNC(=O)CC1,-5.9,-5.9
CN(C)N(NC(N)=O)C1=NCCS1,-5.9,-5.9
COC1=C2C(=O)C=C1OC2=O,-5.9,-5.9
O=c1[nH]c2cc3c1cc2[nH]3,-5.9,-5.9
O=CC1=C(Cl)NC(=O)C1,-5.9,-5.9
CCc1c(CBr)cccn1,-5.9,-5.9
CCc1ccc(Cl)cc1,-5.9,-5.9
CC=CC(C=O)=C(F)S(C)(=O)=O,-5.9,-5.9
CN(C)C(=O)N1CCC(C=O)=C1Cl,-5.9,-5.9
CC(C)=CNC(=O)N(C)C=O,-5.9,-5.9
CCCC(=O)n1cc[nH]c1=O,-5.9,-5.9
C=C(Cl)c1c2ncc(c1)o2,-5.9,-5.9
CN(C=O)C(CC(F)F)N(C)CBr,-5.9,-5.9
ClN=C1C2=C3CC(=C2)CN1C3,-5.9,-5.9
Cc1ccc(CC=O)nc1,-5.9,-5.9
CC1=CS(=O)(=O)CCC1,-5.9,-5.9
O=C1Oc2cc1c(CCl)nc2,-5.9,-5.9
O=c1[nH]c2ccc1cc2,-5.9,-5.9
O=C1CN([SH](=O)=O)C(=O)O1,-5.9,-5.9
O=C(CF)N1C=CCC1=O,-5.9,-5.9
CC(C)OC(=O)n1cc[nH]c1=O,-5.9,-5.9
O=C1c2c(C=CC1n1c(=O)c3c(cccc3)n1C(=O)c1ccccc1)cccc2,-5.9,-5.9
Cn1c(=O)n2ccn(c1=O)c2=O,-5.9,-5.9
O=C1C=C2CC(=O)N1C2,-5.9,-5.9
CCCC=CC=CC1(C=COc2ccc(NC(N)=O)cc2)C=C2C(=C(Cc3ccccc3)Cc3ccccc23)O1,-5.9,-5.9
CCCC=CCN1CCOCC1,-5.9,-5.9
COc1cc2c(C)cc1o2,-5.9,-5.9
C=CC(Cl)=COCC=CCCC,-5.9,-5.9
CC=CCCC=C(Cl)C=O,-5.9,-5.9
Clc1c2cc(cc1)CC2,-5.9,-5.9
CCc1c2cc(Cl)c(c1)o2,-5.9,-5.9
c1cc2c3cc1n2CCC3,-5.9,-5.9
CC1=CCC(n2ccnc2)=CS1,-5.9,-5.9
CC(=O)c1cc2ccc1o2,-5.9,-5.9
CCCCCCOC(=O)NC=CC=O,-5.9,-5.9
O=C1Cn2c3cc1c2cc3,-5.9,-5.9
Nc1c2nc[nH]c2ncn1,-5.9,-5.9
CN(C)C1=CC2=C(Cl)C=C1C2,-5.9,-5.9
NC(=O)C1=CC(=O)OC1,-5.9,-5.9
CC1=C2CC=C1OC2=O,-5.9,-5.9
O=C(O)C1=C(C(=C2CNCCO2)c2ccccc2)C(=CC(=O)c2ccccc2)C=C1CF,-5.9,-5.9
CC1=CC(=Cc2c[nH]c(=O)n2C=C2C=C(c3ccccc3)C(C(=O)c3c(C)cc(C)cc3)=C2F)C(C)=C1S,-5.9,-5.9
CCOC(=O)C1=CCOC=C1,-5.9,-5.9
CC1CC2CCCC12,-5.9,-5.9
CC1CCCCC[N+]1(C)C,-5.9,-5.9
CC(C)CCOC(=O)C(C)C,-5.9,-5.9
CC1CC(OC2CC2)OC1C,-5.9,-5.9
CC(N)CON1CCCCSCCC1,-5.9,-5.9
CCOCOCN1CCCCC[O+]1C,-5.9,-5.9
CCN(C)C(C)CCC1(C)CCO1,-5.9,-5.9
CNC1=CC(C)=CNC1C,-5.9,-5.9
CCCC1CCC(C)C1,-5.9,-5.9
CC1CCOC1C1CNN1,-5.9,-5.9
CC(C)(C)C1(C)CCCC2CCCCC1CC2,-5.9,-5.9
C1CCC2(CC1)CCN2,-5.9,-5.9
CCCC1CCCC1C,-5.9,-5.9
CCCCCC1OC(C)(C)O1,-5.9,-5.9
CC1CCCNC(=O)C1,-5.9,-5.9
O=C1OC2CC3CC2CN13,-5.9,-5.9
CCCCCNCCCC1(C)CO1,-5.9,-5.9
CCCCCNC(=O)COCO,-5.9,-5.9
CCC1CC(N(C)CC)OCOC1C,-5.9,-5.9
O=c1c2ccccc12,-5.9,-5.9
CC1OC2(C)CC(O2)C1C,-5.9,-5.9
CCC1(C)CCCCC1,-5.9,-5.9
CCOC1CCC(=O)C1C,-5.9,-5.9
CC1(C)CCCOCCC1,-5.9,-5.9
CN(C)C(=O)N1CCCC1=O,-5.9,-5.9
CC1CCCCC2OCCCN(C)[O+]2CC1,-5.9,-5.9
CC=CC=CCCCCC,-5.9,-5.9
CC(C)(C)CCC1CCC1,-5.9,-5.9
O=C1ON2CC1=NCN2,-5.9,-5.9
COC1=COc2c3ccc(c2)n13,-5.9,-5.9
CN1C=NC2=CC13CN2C(=O)N3,-5.9,-5.9
Nc1c(C=O)ccnn1,-5.9,-5.9
Cc1c(C)cccc1,-5.9,-5.9
Clc1cc2c(cc1)NCS2,-5.9,-5.9
CC1=NS(=O)(=O)C(=O)C1,-5.9,-5.9
CCC1=NC=C(C=O)CC1,-5.9,-5.9
O=CC1=CC(=O)CC1,-5.9,-5.9
C=CCC1=C2C=CC(C1)O2,-5.9,-5.9
CCOC(=O)C(F)C(=O)C(C)C,-5.9,-5.9
CC1=C2CC=C1C(N(C)C)OC2,-5.9,-5.9
COc1cc(C2(OC(=O)CC(C)C)COC3(N(C)C)C(=O)CC(C)C=C23)cc(OC)c1,-5.9,-5.9
CC(=O)OCCn1cnnn1,-5.9,-5.9
C1=C2C3=NN(CO3)C2SC1,-5.9,-5.9
c1cc2c(cc1)scn2,-5.9,-5.9
CC=CCCCN1CCOCC1,-5.9,-5.9
CCCC1COCC(=O)O1,-5.9,-5.9
c1ccc(N2CC3(c4cc5c(cc4)-c4c6cc(cc4)C3C65)c3c2cccc3)cc1,-5.9,-5.9
C=CC=CC1=C(Br)CCN1,-5.9,-5.9
C=CCNC1C=CC(OCC)=C1,-5.9,-5.9
CCCC=C1CNC(=O)N1,-5.9,-5.9
O=C1NC2OC(=O)C1C2=O,-5.9,-5.9
O=C1C=C2COCSC2O1,-5.9,-5.9
O=C1C2C=C(CCS2)N1[SH](=O)=O,-5.9,-5.9
N#CNN1CCc2cccc1n2,-5.9,-5.9
N#Cc1ccc(Cl)cc1,-5.9,-5.9
COC(=O)N1CCS(=O)(=O)CC1=O,-5.9,-5.9
CC=CCC(=O)N[SH](=O)=O,-6.0,-5.9
CC(C#N)C(C)Oc1cn(C)cn1,-6.0,-5.9
CCOCC(C)C(C)(C)C[N+]1(C)CO1,-6.0,-5.9
CC[N+]1(C)CCCCC23OC4CCC2C(CCC43NCCO)C1,-6.0,-5.9
CC1=CN=CCCC=C1,-6.0,-5.9
CCCCC1CNC12N=C2C,-6.0,-5.9
CC1CC2CCCCCOCCCCC1CC2,-6.0,-5.9
CCOCC1CN2CCCOC2N1C,-6.0,-5.9
CC1CCOCCCN2CCC(C)(COC2)O1,-6.0,-5.9
CCC(C)CC1C(C)C[N+]1(C)SC,-6.0,-5.9
CCC1=CCC(=O)N1CBr,-6.0,-5.9
C1CN(Cc2c3CSc(n2)[nH]3)CCO1,-6.0,-5.9
CC(=O)OC1C(=O)N2C=C1OCC2,-6.0,-5.9
CCC1CON(C(=O)OC)O1,-6.0,-5.9
COc1ccc(C2=C(c3ccccc3)C(=CC=CC3=CC4=CC5C=C4CN35)C3=C2c2cc3ccc2OC)cc1,-6.1,-5.9
CCC1CCCOC[O+]1C(C)=O,-6.1,-5.9
COc1ccc(C2=C3CC45CC(=C3C(c3ccccc3)=C24)c2ccc(OC)cc25)cc1,-6.1,-5.9
CC=CC=CC(Cl)(SC)c1c(C2(C(N)=O)Oc3cc(O)c2cc3)cccc1CC,-6.1,-5.9
CCCCCC(=O)C(OC(=O)CC)(c1ccccc1Oc1ccccc1)C1C(c2ccccc2)=Cc2c1cccc2,-6.1,-5.9
CC=CNC(=O)N(C=CC=CN=C1C(Cl)=C2C=C(OC2)C12Cc1ccc2cc1)C(=O)c1ccccc1,-6.2,-5.9
COc1c(OC(=O)C(C)=C2OC3C=C2C(C=CC(Cl)=CC(=CC=CCc2ccccc2)C2C(=O)c4ccc2cc4)=C(Cc2ccc(Cl)cc2)C3)cccc1,-6.2,-5.9
CC1CCCOC(=O)NCC(C)[O+](C)CCC1,-6.2,-5.9
CC=C1C(=O)C(C(c2ccc(OC)cc2)c2ccc(C(F)F)cc2)=C(c2ccc(OC)cc2)C1=COc1ccccc1,-6.2,-5.9
CCOC(=O)C=C1C=C(C(Cl)=Cc2c(N)cccc2)N(C=O)C2(c3c(OC)cccc3)C(=O)C=CC=C12,-6.2,-5.9
Cn1cc2C(=O)OC(C(N)=O)=c2c1=CCc1ccccc1C12C3=CC(=C1C=C3)C1=C(CC(=O)O)COC(=O)C12,-6.3,-5.9
CCC1CNC(=O)C2CC1CC1CCCC(C2)C(C)(OCC(C)(C)O)C1C,-6.3,-5.9
CC1(c2ncccc2)CSCO1,-6.3,-5.9
CCCC(=O)n1c(-c2ccccc2)c2c(=O)[nH]cc(c2=C(C)CC=O)c1=O,-6.4,-5.9
CC[N+]12CCCC3(C)NCC4=CC=C(O3)C(=CC=C41)N[N+]2=O,-6.4,-5.9
